iter	Logloss
0	0.6707758799
1	0.6543874316
2	0.6218869538
3	0.607020954
4	0.5889298519
5	0.5778044496
6	0.5648830227
7	0.5454638194
88	0.536700178899	0.5288580584110	0.521263533211	0.5105641177
12	0.5040612912
113	0.4935742406114	0.4851138522115	0.47347469516	0.4559017771
1717	0.4535839161818	0.448348295119	0.4414424174220	0.435204068221	0.4280949626
22	0.419761607
2323	0.41290808924	0.4134079117
2525	0.4000505232626	0.3962413172727	0.3939534872828	0.3881658392929	0.3848275243030	0.3793145463131	0.3750463393232	0.3734053373333	0.3714894643434	0.3670117833535	0.361000792336	0.3574198157337	0.3548014459338	0.3509147511339	0.3474314233440	0.3445384579441	0.3423211581442	0.339760819543	0.3395099725
444	0.3357366625445	0.3341461369446	0.333438482
47	0.3321887487
48	0.3312661585
49	0.3301717884
50	0.3288125339
51	0.3275556625
52	0.3260870906
53	0.3247245382
54	0.3222812389
55	0.314743306
56	0.3136757019
557	0.3135195701558	0.3116027271559	0.3085138352660	0.3079592025
61	0.3060901798662	0.3045571575663	0.3014889968664	0.300589132
65	0.2986947113
66	0.2981149993
67	0.2958102484668	0.293353618
69	0.2915533201770	0.2902582277171	0.2884688827272	0.2879857617373	0.2869639297474	0.2858968247575	0.2848812207676	0.2840724568
77	0.282638405
78	0.2820936483
79	0.2810413005
80	0.280701866
81	0.2800525671
82	0.279231353
83	0.2785568369
84	0.2778960101
85	0.2761814535
86	0.2734761298
87	0.2720875802
88	0.271579081
89	0.2709341148
90	0.270355535
91	0.2693084005
92	0.26854332
93	0.2676852617
94	0.2671905555
95	0.2657355492
96	0.2654155697
97	0.2650152336
98	0.2641904087
99	0.2635166658
100	0.2615766569
101	0.2612742529
102	0.2608167959
103	0.2597260246
104	0.2589566442
105	0.2582228514
106	0.2574693865
107	0.2571548075
108	0.2566667346
109	0.2560782979
110	0.2550381861
111	0.2542654354
112	0.2539478662
113	0.2536218332
114	0.253324755
115	0.252161121
116	0.2516066965
117	0.2513770726
118	0.2510299844
119	0.2501064399
120	0.2492897879
121	0.2489508537
122	0.2482582969
123	0.2478704818
124	0.2474859572
125	0.2469028388
126	0.2466662463
127	0.2463630956
128	0.2456344688
129	0.2452249193
130	0.2450297916
131	0.2446980801
132	0.2438201802
133	0.2436404833
134	0.2432123571
135	0.242503005
136	0.2420783278
137	0.2419487905
138	0.241709939
139	0.2414181418
140	0.2411189913
141	0.240560615
142	0.2404379634
143	0.2400464859
144	0.239306577
145	0.2389491799
146	0.2386865033
147	0.2384166665
148	0.2382031715
149	0.2379150572
150	0.2372046911
151	0.2369196544
152	0.2366259046
153	0.2365287627
154	0.236153807
155	0.2359526127
156	0.2354490258
157	0.2351124159
158	0.2348610411
159	0.2343885894
160	0.2342825248
161	0.234118859
162	0.2337628918
163	0.2335888123
164	0.2334144686
165	0.2333001447
166	0.2327920069
167	0.2321046816
168	0.2317757952
169	0.2315956731
170	0.2313683897
171	0.2309338479
172	0.230745646
173	0.2306521412
17174	0.22853722017175	0.22837034217176	0.22819219217177	0.2280394111178	0.2274994494179	0.2288020725
180	0.2285026853
181	0.2271070067
182	0.2267955549
183	0.2263609622
184	0.2259988349
185	0.225192782
186	0.2250293847
187	0.2249390959
188	0.2245742191
189	0.2239899342
190	0.2233130895
191	0.2232112941
192	0.2230410769
193	0.222748732
194	0.2225985772
195	0.2218902034
196	0.2217429334
197	0.2205803649
